,Region,District,Taluka,Year
0,Marathwada,Aurangabad,Khultabad,2017
1,Marathwada,Aurangabad,Khultabad,2018
2,Marathwada,Aurangabad,Khultabad,2019
3,Marathwada,Aurangabad,Phulambri,2017
4,Marathwada,Aurangabad,Phulambri,2018
5,Marathwada,Aurangabad,Phulambri,2019
6,Marathwada,Aurangabad,Vaijapur,2018
7,Marathwada,Aurangabad,Vaijapur,2019
8,Marathwada,Beed,Kaij,2017
9,Marathwada,Beed,Kaij,2018
10,Marathwada,Beed,Kaij,2019
11,Marathwada,Beed,Dharur,2017
12,Marathwada,Beed,Dharur,2018
13,Marathwada,Beed,Dharur,2019
14,Marathwada,Beed,Ambajogai,2016
15,Marathwada,Beed,Ambajogai,2017
16,Marathwada,Beed,Ambajogai,2018
17,Marathwada,Beed,Ambajogai,2019
18,Marathwada,Beed,Asti,2018
19,Marathwada,Beed,Asti,2019
20,Marathwada,Beed,Parali Vaijinath,2018
21,Marathwada,Beed,Parali Vaijinath,2019
22,Marathwada,Beed,Beed,2019
23,Marathwada,Osmanabad,Kalamb,2017
24,Marathwada,Osmanabad,Kalamb,2018
25,Marathwada,Osmanabad,Kalamb,2019
26,Marathwada,Osmanabad,Bhoom,2017
27,Marathwada,Osmanabad,Bhoom,2018
28,Marathwada,Osmanabad,Paranda,2017
29,Marathwada,Osmanabad,Paranda,2018
30,Marathwada,Osmanabad,Osmanabad,2018
31,Marathwada,Osmanabad,Osmanabad,2019
32,Marathwada,Hingoli,Kalamnuri,2018
33,Marathwada,Hingoli,Kalamnuri,2019
34,Marathwada,Parbhani,Jintur,2018
35,Marathwada,Parbhani,Jintur,2019
36,Marathwada,Parbhani,Gangakhed,2019
37,Marathwada,Nanded,Bhokar,2018
38,Marathwada,Nanded,Bhokar,2019
39,Marathwada,Nanded,Loha,2018
40,Marathwada,Nanded,Loha,2019
41,Marathwada,Jalna,Jafrabad,2018
42,Marathwada,Jalna,Jafrabad,2019
43,Marathwada,Latur,Ausa,2017
44,Marathwada,Latur,Ausa,2018
45,Marathwada,Latur,Ausa,2019
46,Marathwada,Latur,Nilanga,2017
47,Marathwada,Latur,Nilanga,2018
48,Marathwada,Latur,Nilanga,2019
49,Marathwada,Latur,Devni,2018
50,Marathwada,Latur,Devni,2019
51,Vidarbha,Buldhana,Motala,2018
52,Vidarbha,Buldhana,Motala,2019
53,Vidarbha,Buldhana,Jalgaon Jamod,2018
54,Vidarbha,Buldhana,Jalgaon Jamod,2019
55,Vidarbha,Buldhana,Sangrampur,2018
56,Vidarbha,Buldhana,Sangrampur,2019
57,Vidarbha,Akola,Akot,2017
58,Vidarbha,Akola,Akot,2018
59,Vidarbha,Akola,Akot,2019
60,Vidarbha,Akola,Patur,2017
61,Vidarbha,Akola,Patur,2018
62,Vidarbha,Akola,Patur,2019
63,Vidarbha,Akola,Barshitakli,2017
64,Vidarbha,Akola,Barshitakli,2018
65,Vidarbha,Akola,Barshitakli,2019
66,Vidarbha,Akola,Tilhara,2018
67,Vidarbha,Akola,Tilhara,2019
68,Vidarbha,Washim,Karanja,2017
69,Vidarbha,Washim,Karanja,2018
70,Vidarbha,Washim,Karanja,2019
71,Vidarbha,Washim,Mangrul Pir,2018
72,Vidarbha,Washim,Mangrul Pir,2019
73,Vidarbha,Amravati,Dharni,2017
74,Vidarbha,Amravati,Dharni,2018
75,Vidarbha,Amravati,Dharni,2019
76,Vidarbha,Amravati,Warud,2016
77,Vidarbha,Amravati,Warud,2017
78,Vidarbha,Amravati,Warud,2018
79,Vidarbha,Amravati,Warud,2019
80,Vidarbha,Amravati,Morshi,2018
81,Vidarbha,Amravati,Morshi,2019
82,Vidarbha,Amravati,Chikhaldara,2018
83,Vidarbha,Amravati,Chikhaldara,2019
84,Vidarbha,Amravati,Nandagaon (K),2018
85,Vidarbha,Amravati,Nandagaon (K),2019
86,Vidarbha,Yavatmal,Ralegaon,2017
87,Vidarbha,Yavatmal,Ralegaon,2018
88,Vidarbha,Yavatmal,Ralegaon,2019
89,Vidarbha,Yavatmal,Kalamb,2017
90,Vidarbha,Yavatmal,Kalamb,2018
91,Vidarbha,Yavatmal,Kalamb,2019
92,Vidarbha,Yavatmal,Umarkhed,2017
93,Vidarbha,Yavatmal,Umarkhed,2018
94,Vidarbha,Yavatmal,Umarkhed,2019
95,Vidarbha,Yavatmal,Yavatmal,2018
96,Vidarbha,Yavatmal,Yavatmal,2019
97,Vidarbha,Yavatmal,Ghatanji,2018
98,Vidarbha,Yavatmal,Ghatanji,2019
99,Vidarbha,Yavatmal,Dharva,2018
100,Vidarbha,Yavatmal,Dharva,2019
101,Vidarbha,Wardha,Arvi,2017
102,Vidarbha,Wardha,Arvi,2018
103,Vidarbha,Wardha,Arvi,2019
104,Vidarbha,Wardha,Deoli,2018
105,Vidarbha,Wardha,Deoli,2019
106,Vidarbha,Wardha,Karanja Ghadge,2018
107,Vidarbha,Wardha,Karanja Ghadge,2019
108,Vidarbha,Wardha,Selu,2018
109,Vidarbha,Wardha,Selu,2019
110,Vidarbha,Nagpur,Narkhed,2018
111,Vidarbha,Nagpur,Narkhed,2019
112,Western Maharashtra,Satara,Man,2017
113,Western Maharashtra,Satara,Man,2018
114,Western Maharashtra,Satara,Man,2019
115,Western Maharashtra,Satara,Khatav,2017
116,Western Maharashtra,Satara,Khatav,2018
117,Western Maharashtra,Satara,Khatav,2019
118,Western Maharashtra,Satara,Koregaon,2016
119,Western Maharashtra,Satara,Koregaon,2017
120,Western Maharashtra,Satara,Koregaon,2018
121,Western Maharashtra,Satara,Koregaon,2019
122,Western Maharashtra,Solapur,Sangola,2017
123,Western Maharashtra,Solapur,Sangola,2018
124,Western Maharashtra,Solapur,Sangola,2019
125,Western Maharashtra,Solapur,Uttar Solapur,2017
126,Western Maharashtra,Solapur,Uttar Solapur,2018
127,Western Maharashtra,Solapur,Uttar Solapur,2019
128,Western Maharashtra,Solapur,Karmala,2018
129,Western Maharashtra,Solapur,Karmala,2019
130,Western Maharashtra,Solapur,Barshi,2018
131,Western Maharashtra,Solapur,Barshi,2019
132,Western Maharashtra,Solapur,Madha,2018
133,Western Maharashtra,Solapur,Madha,2019
134,Western Maharashtra,Solapur,Mangalwedha,2018
135,Western Maharashtra,Solapur,Mangalwedha,2019
136,Western Maharashtra,Sangli,Atpadi,2017
137,Western Maharashtra,Sangli,Atpadi,2018
138,Western Maharashtra,Sangli,Atpadi,2019
139,Western Maharashtra,Sangli,Jath,2017
140,Western Maharashtra,Sangli,Jath,2018
141,Western Maharashtra,Sangli,Jath,2019
142,Western Maharashtra,Sangli,Khanapur,2017
143,Western Maharashtra,Sangli,Khanapur,2018
144,Western Maharashtra,Sangli,Khanapur,2019
145,Western Maharashtra,Sangli,Kavathe-Mahankal,2018
146,Western Maharashtra,Sangli,Kavathe-Mahankal,2019
147,Western Maharashtra,Sangli,Tasgaon,2018
148,Western Maharashtra,Sangli,Tasgaon,2019
149,Western Maharashtra,Pune,Baramati,2018
150,Western Maharashtra,Pune,Baramati,2019
151,Western Maharashtra,Pune,Indapur,2017
152,Western Maharashtra,Pune,Indapur,2018
153,Western Maharashtra,Pune,Purandar,2017
154,Western Maharashtra,Pune,Purandar,2018
155,Western Maharashtra,Pune,Purandar,2019
156,North Maharashtra,Jalgaon,Amalner,2018
157,North Maharashtra,Jalgaon,Amalner,2019
158,North Maharashtra,Jalgaon,Parola,2018
159,North Maharashtra,Jalgaon,Parola,2019
160,North Maharashtra,Jalgaon,Chalisgaon,2019
161,North Maharashtra,Jalgaon,Jamner,2019
162,North Maharashtra,Nandurbar,Shahada,2018
163,North Maharashtra,Nandurbar,Shahada,2019
164,North Maharashtra,Nandurbar,Nandurbar,2018
165,North Maharashtra,Nandurbar,Nandurbar,2019
166,North Maharashtra,Dhule,Dhule,2018
167,North Maharashtra,Dhule,Dhule,2019
168,North Maharashtra,Dhule,Sindkheda,2018
169,North Maharashtra,Dhule,Sindkheda,2019
170,North Maharashtra,Nashik,Chandwad,2018
171,North Maharashtra,Nashik,Chandwad,2019
172,North Maharashtra,Nashik,Sinnar,2018
173,North Maharashtra,Nashik,Sinnar,2019
174,North Maharashtra,Ahmednagar,Jamkhed,2018
175,North Maharashtra,Ahmednagar,Patharadi,2018
176,North Maharashtra,Ahmednagar,Patharadi,2019
177,North Maharashtra,Ahmednagar,Ahmednagar,2018
178,North Maharashtra,Ahmednagar,Ahmednagar,2019
179,North Maharashtra,Ahmednagar,Parner,2018
180,North Maharashtra,Ahmednagar,Parner,2019
181,North Maharashtra,Ahmednagar,Karjat,2018
182,North Maharashtra,Ahmednagar,Karjat,2019
183,North Maharashtra,Ahmednagar,Sangamner,2019
